Unnamed: 0,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller,name_normalized
5040,Mischief Makers,https://www.imdb.com/title/tt0793553/?ref_=adv_li_tt,1997.0,K-A,8.3,65,"When Professor Theo is kidnapped, his robotic maid, Marina, sets out to rescue him.",True,True,False,False,True,False,False,False,False,mischief makers
5053,The Great Giana Sisters,https://www.imdb.com/title/tt0462319/?ref_=adv_li_tt,1987.0,,8.2,93,A side-scrolling platformer alarmingly similar to Super Mario Bros.,True,True,False,False,True,False,False,False,False,the great giana sisters
5054,BackStab HD,https://www.imdb.com/title/tt2363678/?ref_=adv_li_tt,2011.0,,8.3,12,"Take on the role of Henry Blake, a broken man whose life was stripped away, and help in his quest for justice and revenge. Climb, jump and sneak your way through diverse settings to reach ... See full summary »",True,False,False,False,False,False,False,False,False,backstab hd
5056,White Knight Chronicles II,https://www.imdb.com/title/tt2073708/?ref_=adv_li_tt,2010.0,T,8.2,22,Add a Plot,True,True,False,False,False,False,False,False,False,white knight chronicles ii
5058,Ys: The Oath in Felghana,https://www.imdb.com/title/tt7097454/?ref_=adv_li_tt,2010.0,,8.1,19,"Adol Christin and his friend Dogi are travelling to Dogi's hometown of Redmont. Upon arriving, they discover that evil happenings are threatening the townspeople, and it is up to Adol to put a stop to it.",True,True,False,False,False,True,False,False,False,ys: the oath in felghana
5064,Rise of the Dragon,https://www.imdb.com/title/tt0291450/?ref_=adv_li_tt,1990.0,M,8.4,62,Add a Plot,True,True,False,False,False,False,False,False,False,rise of the dragon
5068,Dynasty Warriors 3: Xtreme Legends,https://www.imdb.com/title/tt0368968/?ref_=adv_li_tt,2002.0,T,8.2,37,Add a Plot,True,True,False,False,False,True,False,False,False,dynasty warriors 3: xtreme legends
5069,Warzone 2100,https://www.imdb.com/title/tt0442710/?ref_=adv_li_tt,1999.0,T,8.5,46,Add a Plot,True,True,False,False,False,False,False,False,False,warzone 2100
5087,Monster Hunter 4 Ultimate,https://www.imdb.com/title/tt2583092/?ref_=adv_li_tt,2013.0,T,8.1,79,You travel across the world as a part of a team of hunters. You hunt monsters to make new weapons and parts to make you a better Hunter.,True,True,False,False,True,False,False,False,False,monster hunter 4 ultimate
5101,Vampire Savior 2: The Lord of Vampire,https://www.imdb.com/title/tt12308776/?ref_=adv_li_tt,1997.0,,8.1,9,Updated version of Vampire Savior: The Lord of Vampire (1997) (Darkstalkers 3) with a slightly different character roster from the original.,True,False,False,False,False,False,False,False,False,vampire savior 2: the lord of vampire
5107,Blade of Darkness,https://www.imdb.com/title/tt0278982/?ref_=adv_li_tt,2001.0,M,8.6,126,Add a Plot,True,True,False,False,False,True,False,False,False,blade of darkness
5118,The King of Fighters '98: The Slugfest,https://www.imdb.com/title/tt0314273/?ref_=adv_li_tt,1998.0,T,8.3,194,"The King of Fighters '98 takes a break from the Orochi plot line and instead is presented as a ""Dream Match"" game where the KOF roster duke it out for the top spot.",True,False,False,False,False,False,False,False,False,the king of fighters '98: the slugfest
5132,World War Toons,https://www.imdb.com/title/tt6321054/?ref_=adv_li_tt,2016.0,,8.3,7,Add a Plot,True,False,False,False,False,False,False,False,False,world war toons
5133,Street Fighter: 30th Anniversary Collection,https://www.imdb.com/title/tt18379378/?ref_=adv_li_tt,2018.0,T,8.6,32,Add a Plot,True,False,False,False,False,False,False,False,False,street fighter: 30th anniversary collection
